,ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,DIA_SEMANA_x,Tiempo_Supervivencia,ID,HORA,HH,DIA_SEMANA_y,TIPO_DE_CALLE,pos x,pos y,coordenada_x,coordenada_y,ACUSADO
76,2016-0100,2016-08-03,2016,8,3.0,CONDUCTOR,MOTO,MASCULINO,57.0,2016-08-03,Miércoles,0 days,2016-0100,23:27:00,23.0,2.0,GRAL PAZ,-58.49491054,-34.54795581,97098.48468623,109019.96106626,OBJETO FIJO
77,2016-0101,2016-08-07,2016,8,7.0,,,MASCULINO,67.0,,Domingo,,2016-0101,19:42:00,19.0,6.0,GRAL PAZ,-58.52932872,-34.65014993,93946.81673714,97681.68907836,
78,2016-0102,2016-08-10,2016,8,10.0,CONDUCTOR,MOTO,MASCULINO,29.0,,Miércoles,,2016-0102,23:37:00,23.0,2.0,AVENIDA,-58.50011639,-34.67316502,96625.80612216,95129.90776954,CARGAS
79,2016-0104,2016-08-14,2016,8,14.0,CONDUCTOR,MOTO,MASCULINO,21.0,2016-08-15,Domingo,1 days,2016-0104,21:15:00,21.0,6.0,AVENIDA,-58.46635001,-34.65624369,99720.41444035,97007.69579491,PASAJEROS
80,2016-0105,2016-08-17,2016,8,17.0,PEATON,PEATON,MASCULINO,19.0,2016-08-26,Miércoles,9 days,2016-0105,0:05:00,0.0,2.0,AVENIDA,-58.45343236,-34.58435809,100905.28580812,104982.19279501,PASAJEROS
81,2016-0106,2016-08-19,2016,8,19.0,PEATON,PEATON,MASCULINO,38.0,,Viernes,,2016-0106,21:02:00,21.0,4.0,AVENIDA,-58.38090932,-34.58927731,107558.64146875,104433.48706482,PASAJEROS
82,2016-0107,2016-08-20,2016,8,20.0,CONDUCTOR,MOTO,MASCULINO,21.0,,Sábado,,2016-0107,8:22:00,8.0,5.0,AUTOPISTA,-58.37157668,-34.65429986,108408.31858686,97219.56218484,AUTO
83,2016-0109,2016-08-24,2016,8,24.0,CONDUCTOR,AUTO,FEMENINO,53.0,2016-08-24,Miércoles,0 days,2016-0109,5:45:00,5.0,2.0,AUTOPISTA,-58.52280139,-34.63659934,94544.313443,99185.28796442,OBJETO FIJO
84,2016-0110,2016-08-24,2016,8,24.0,PEATON,PEATON,MASCULINO,57.0,,Miércoles,,2016-0110,20:21:00,20.0,2.0,AVENIDA,-58.51232237,-34.6590353,95506.35959227,96696.89655626,
85,2016-0111,2016-08-25,2016,8,25.0,CONDUCTOR,MOTO,MASCULINO,27.0,2016-08-25,Jueves,0 days,2016-0111,9:30:00,9.0,3.0,AUTOPISTA,-58.47461905,-34.57663634,98961.36262767,105838.76329094,CARGAS
86,2016-0112,2016-08-27,2016,8,27.0,CONDUCTOR,MOTO,MASCULINO,24.0,2016-08-27,Sábado,0 days,2016-0112,4:40:00,4.0,5.0,AUTOPISTA,-58.38268809,-34.62282019,107392.50226602,100712.59265582,OBJETO FIJO
